Date,Open,High,Low,Close,Adj Close,Volume
2018-03-27,107.230003,108.540001,106.510002,107.639999,105.785049,5036300
2018-03-28,108.139999,110.110001,108.000000,109.180000,107.298515,6413000
2018-03-29,110.120003,110.660004,108.970001,109.150002,107.269028,3829500
2018-04-02,108.620003,109.220001,106.440002,107.050003,105.205223,4325500
2018-04-03,107.389999,108.529999,106.589996,108.190002,106.325577,4699000
2018-04-04,107.779999,110.730003,107.239998,110.180000,108.281281,4694200
2018-04-05,110.430000,111.180000,109.750000,110.570000,108.664558,3275700
2018-04-06,110.059998,110.980003,108.769997,109.300003,107.416451,3579100
2018-04-09,109.540001,110.449997,108.779999,109.379997,107.495064,2620000
2018-04-10,109.739998,110.199997,108.919998,109.400002,107.514717,2817000
2018-04-11,108.570000,109.470001,108.419998,108.680000,106.807129,4000200
2018-04-12,108.959999,109.510002,108.269997,108.309998,106.443504,2691700
2018-04-13,108.849998,109.459999,108.519997,109.260002,107.377136,2828300
2018-04-16,109.750000,110.639999,109.519997,109.919998,108.025757,2769800
2018-04-17,108.690002,109.080002,107.980003,108.870003,106.993858,5022000
2018-04-18,108.970001,109.360001,106.459999,106.980003,105.136429,6525500
2018-04-19,106.709999,106.940002,105.080002,105.570000,103.750717,6320200
2018-04-20,105.449997,105.599998,102.269997,102.480003,100.713974,8650000
2018-04-23,102.550003,102.800003,101.839996,102.580002,100.812256,6670600
2018-04-24,102.620003,102.849998,100.970001,101.440002,99.691895,5695500
2018-04-25,101.209999,102.360001,100.849998,101.150002,99.406898,4828300
2018-04-26,102.250000,104.080002,101.150002,103.260002,101.480530,5978800
2018-04-27,102.220001,102.989998,101.650002,101.709999,99.957245,4765900
2018-04-30,101.849998,102.389999,100.580002,100.940002,99.200508,5479900
2018-05-01,100.360001,100.930000,98.570000,99.129997,97.421700,4543900
2018-05-02,99.160004,99.360001,97.029999,97.230003,95.554443,5927700
2018-05-03,97.480003,98.089996,96.699997,97.599998,95.918068,6668200
2018-05-04,97.550003,99.769997,97.500000,98.989998,97.284111,5937000
2018-05-07,98.980003,99.309998,98.070000,98.230003,96.537216,3475400
2018-05-08,97.910004,97.989998,96.430000,96.790001,95.122025,5333700
2018-05-09,97.190002,97.519997,95.940002,96.160004,94.502884,6201500
2018-05-10,96.430000,97.739998,96.400002,97.269997,95.593750,3100600
2018-05-11,97.580002,98.260002,96.879997,97.430000,95.750999,3507300
2018-05-14,97.690002,97.730003,96.730003,97.150002,95.475822,4307900
2018-05-15,96.610001,97.239998,96.360001,96.800003,95.131851,6555700
2018-05-16,96.639999,97.550003,96.550003,97.190002,95.515137,5544700
2018-05-17,97.550003,97.989998,97.150002,97.919998,96.232552,6531100
2018-05-18,98.309998,98.449997,97.320000,97.510002,95.829620,6894000
2018-05-21,98.220001,99.980003,98.059998,99.510002,97.795158,6678100
2018-05-22,99.779999,100.459999,99.430000,99.930000,98.207916,6807600
2018-05-23,99.930000,100.599998,99.610001,100.449997,98.718956,6249800
2018-05-24,100.309998,100.580002,99.760002,100.180000,98.453606,4664600
2018-05-25,100.180000,101.110001,99.900002,100.309998,98.581360,5324300
2018-05-29,100.000000,101.290001,100.000000,101.099998,99.357750,8054000
2018-05-30,101.660004,102.239998,101.089996,101.830002,100.075180,6256600
2018-05-31,101.150002,101.300003,99.660004,100.250000,99.428024,8270100
2018-06-01,100.540001,100.930000,99.650002,100.250000,99.428024,4414200
2018-06-04,100.769997,101.089996,100.029999,100.120003,99.299095,3926700
2018-06-05,100.459999,100.959999,99.879997,100.209999,99.388351,4851900
2018-06-06,100.400002,100.860001,99.820000,100.830002,100.003265,3946700
2018-06-07,100.510002,101.510002,100.330002,101.160004,100.330566,5052900
2018-06-08,101.180000,102.610001,101.180000,102.489998,101.649651,4795500
2018-06-11,102.610001,103.410004,102.269997,103.209999,102.363754,3984500
2018-06-12,103.230003,104.550003,102.820000,104.480003,103.623344,5075900
2018-06-13,104.160004,105.599998,104.160004,105.269997,104.406860,7553500
2018-06-14,105.260002,105.360001,104.430000,105.129997,104.268005,4812600
2018-06-15,105.099998,107.750000,104.820000,107.610001,106.727676,10573000
2018-06-18,107.010002,107.209999,104.830002,105.379997,104.515961,5964400
2018-06-19,105.489998,106.680000,105.220001,105.959999,105.091202,5504400
2018-06-20,105.730003,106.110001,105.360001,105.809998,104.942429,4601400
2018-06-21,106.570000,107.430000,106.300003,107.239998,106.360710,6550700
2018-06-22,107.239998,108.669998,107.139999,108.370003,107.481445,5709400
2018-06-25,107.709999,109.589996,107.709999,108.989998,108.096359,5183000
2018-06-26,109.050003,109.169998,107.470001,108.050003,107.164070,5034100
2018-06-27,108.370003,108.959999,107.620003,108.269997,107.382263,6229200
2018-06-28,108.419998,109.300003,108.300003,108.680000,107.788902,4297400
2018-06-29,108.720001,109.500000,107.800003,108.870003,107.977348,4721400
2018-07-02,108.699997,110.000000,108.309998,109.529999,108.631935,4711900
2018-07-03,108.580002,109.570000,108.059998,108.800003,107.907921,3769100
2018-07-05,108.910004,109.620003,108.000000,109.550003,108.651772,4870400
2018-07-06,109.489998,110.019997,108.970001,109.559998,108.661682,4387300
2018-07-09,109.129997,109.300003,107.519997,107.760002,106.876450,7866400
2018-07-10,110.620003,113.000000,109.680000,112.889999,111.964386,16107200
2018-07-11,112.639999,112.940002,112.099998,112.540001,111.617256,5521400
2018-07-12,112.540001,112.709999,110.970001,111.529999,110.615532,5500100
2018-07-13,111.680000,112.790001,111.620003,112.690002,111.766029,4417100
2018-07-16,112.559998,113.120003,111.750000,112.959999,112.033806,5413600
2018-07-17,113.470001,115.029999,113.470001,114.879997,113.938065,6783800
2018-07-18,114.919998,115.000000,113.889999,114.830002,113.888481,5379000
2018-07-19,114.769997,116.589996,114.750000,115.769997,114.820770,9241300
2018-07-20,115.750000,116.790001,115.220001,116.010002,115.058807,27559700
2018-07-23,115.519997,115.980003,113.580002,114.389999,113.452087,7769300
2018-07-24,114.139999,114.919998,113.849998,114.739998,113.799210,5095100
2018-07-25,114.940002,115.669998,114.500000,115.209999,114.265358,4762300
2018-07-26,116.139999,116.900002,114.879997,115.000000,114.057083,5096300
2018-07-27,114.769997,115.349998,114.029999,114.279999,113.342987,4563700
2018-07-30,113.779999,114.589996,113.669998,114.180000,113.243805,3621800
2018-07-31,114.660004,115.489998,114.110001,115.000000,114.057083,4892100
2018-08-01,114.419998,114.529999,113.230003,113.610001,112.678482,4169000
2018-08-02,113.599998,114.930000,113.089996,114.690002,113.749626,4167200
2018-08-03,114.769997,116.699997,114.370003,116.300003,115.346428,3934500
2018-08-06,117.250000,118.440002,116.900002,117.379997,116.417564,6704800
2018-08-07,116.449997,116.449997,113.529999,114.220001,113.283478,6919600
2018-08-08,114.519997,114.849998,113.470001,113.489998,112.559464,5172900
2018-08-09,114.120003,114.120003,113.379997,113.699997,112.767738,4068000
2018-08-10,113.589996,113.970001,112.570000,112.870003,111.944550,3711900
2018-08-13,112.809998,113.139999,112.010002,113.019997,112.093315,3170100
2018-08-14,112.699997,113.489998,112.110001,113.099998,112.172661,3836700
2018-08-15,112.760002,113.739998,112.250000,113.449997,112.519791,6513300
2018-08-16,113.739998,114.730003,113.370003,114.250000,113.313232,4504600
2018-08-17,114.000000,115.089996,114.000000,114.959999,114.017410,3391600
2018-08-20,114.989998,115.849998,114.599998,114.839996,113.898392,3676000
2018-08-21,115.250000,115.250000,113.650002,113.720001,112.787582,4667700
2018-08-22,113.699997,113.820000,111.959999,112.239998,111.319710,3860900
2018-08-23,112.169998,112.230003,111.510002,111.930000,111.012253,4508800
2018-08-24,111.870003,112.529999,111.800003,112.150002,111.230453,3677700
2018-08-27,112.580002,112.769997,111.830002,112.410004,111.488319,3155700
2018-08-28,112.220001,112.449997,110.889999,111.169998,110.258484,5229400
2018-08-29,111.300003,112.120003,111.220001,112.050003,111.131271,2403200
2018-08-30,111.870003,112.230003,111.550003,111.959999,111.042007,2119100
2018-08-31,111.769997,112.580002,111.260002,112.010002,111.091599,4248800
2018-09-04,111.820000,112.089996,110.449997,111.000000,110.089882,4576300
2018-09-05,110.760002,113.169998,110.699997,113.120003,112.192497,4392100
2018-09-06,112.000000,113.529999,111.440002,113.500000,113.500000,4808300
2018-09-07,112.849998,113.500000,111.510002,112.739998,112.739998,3833800
2018-09-10,112.919998,113.989998,112.699997,113.570000,113.570000,3289700
2018-09-11,111.849998,113.750000,111.849998,113.330002,113.330002,2807300
2018-09-12,113.309998,114.230003,113.040001,113.849998,113.849998,3651400
2018-09-13,114.489998,115.010002,113.690002,114.989998,114.989998,3808100
2018-09-14,114.889999,114.889999,113.720001,114.570000,114.570000,2698300
2018-09-17,114.599998,115.449997,114.220001,115.400002,115.400002,3092600
2018-09-18,115.480003,115.480003,113.690002,113.980003,113.980003,4081200
2018-09-19,113.949997,114.239998,113.459999,113.769997,113.769997,2844900
2018-09-20,114.230003,115.510002,114.110001,115.220001,115.220001,3375900
2018-09-21,115.260002,115.519997,114.839996,114.910004,114.910004,6989500
